min_rank	mid_rank	max_rank	binsize	wordsline
0	150	300	300	перед
301	529	757	456	сильно
758	1065	1371	613	медленный
1372	1757	2142	769	собирать
2143	2606	3070	926	победить
3071	3612	4154	1083	показание
4155	4774	5394	1239	овца
5395	6093	6791	1396	пробираться
6792	7569	8345	1552	погружаться
8346	9201	10056	1709	думский
10057	10990	11923	1866	моделирование
11924	12935	13946	2022	громоздкий
13947	15037	16126	2179	невидимка
16127	17295	18463	2335	персиянин
18464	19710	20957	2492	выпрашивать
20958	22282	23607	2649	никелировать
23608	25010	26413	2805	обходной
26414	27895	29376	2962	плутать
29377	30937	32496	3118	отворотиться
32497	34135	35773	3275	проконтролировать
35774	37490	39206	3432	бедренный
39207	41001	42795	3588	избыточность
42796	44669	46542	3745	вырезываться
46543	48494	50444	3901	традиционалист
50445	52475	54504	4058	сообразность
54505	56612	58720	4215	засасываться
58721	60907	63093	4371	миллиончик
63094	65358	67622	4528	переувлажнить
67623	69965	72308	4684	кумысный
72309	74729	77150	4841	чудотворство
77151	79650	82149	4998	дрожка
82150	84727	87305	5154	желтозем
87306	89961	92617	5311	помытариться
92618	95352	98086	5467	поставочный
98087	100899	103711	5624	смугловатость
103712	106603	109493	5781	инкрустирование
109494	112463	115432	5937	автодоение
115433	118480	121527	6094	микромер
121528	124654	127779	6250	отгуливание
127780	130964	134148	6367	утепленный
