min_rank	mid_rank	max_rank	binsize	wordsline
0	25	50	50	уж
51	77	103	52	если
104	132	159	55	жить
160	189	218	57	пройти
219	250	280	60	лишь
281	313	344	63	белый
345	378	411	65	посмотреть
412	447	481	68	широкий
482	518	553	71	основный
554	591	628	73	природа
629	667	706	76	офицер
707	746	786	79	ученый
787	828	869	81	вино
870	912	954	84	способ
955	999	1042	87	впечатление
1043	1088	1133	89	среда
1134	1181	1227	92	красота
1228	1275	1323	95	комиссия
1324	1373	1422	97	даль
1423	1473	1523	100	германий
1524	1576	1627	103	непременно
1628	1681	1734	105	секунда
1735	1789	1844	108	восточный
1845	1900	1956	111	зритель
1957	2014	2070	113	выступить
2071	2130	2188	116	надеть
2189	2248	2308	119	кино
2309	2370	2431	121	лампа
2432	2494	2556	124	костер
2557	2621	2684	127	испугаться
2685	2750	2815	129	чина
2816	2882	2948	132	чудесный
2949	3017	3084	135	старушка
3085	3154	3223	137	предупредить
3224	3294	3364	140	нападение
3365	3437	3508	142	сравнительно
3509	3582	3655	145	водитель
3656	3730	3804	148	авторитет
3805	3881	3956	150	орать
3957	4034	4111	153	зарубежный
4112	4190	4268	156	предполагаться
4269	4348	4428	158	улучшение
4429	4510	4590	161	сочувствие
4591	4674	4756	164	некуда
4757	4840	4924	166	звенеть
4925	5009	5094	169	искусный
5095	5181	5267	172	приветливый
5268	5356	5443	174	сирота
5444	5533	5622	177	служение
5623	5713	5803	180	заводской
5804	5895	5987	182	вертикальный
5988	6080	6173	185	лень
6174	6268	6362	188	барский
6363	6459	6554	190	психика
6555	6652	6749	193	смиренный
6750	6848	6946	196	свирепый
6947	7046	7145	198	порох
7146	7247	7348	201	переработка
7349	7451	7553	204	перемещение
7554	7657	7761	206	подействовать
7762	7866	7971	209	фиолетовый
7972	8078	8184	212	страшить
8185	8293	8400	214	застылый
8401	8510	8618	217	понестись
8619	8729	8839	220	як
8840	8952	9063	222	догонять
9064	9177	9289	225	предсказать
9290	9404	9518	227	мерзкий
9519	9635	9750	230	зам
9751	9868	9984	233	вошь
9985	10103	10221	235	скат
10222	10341	10461	238	различаться
10462	10582	10703	241	вечеринка
10704	10826	10948	243	уважительный
10949	11072	11196	246	привязаться
11197	11321	11446	249	трюм
11447	11573	11699	251	противопоставить
11700	11827	11954	254	замечаться
11955	12084	12213	257	уменье
12214	12343	12473	259	ворох
12474	12606	12737	262	созвездие
12738	12871	13003	265	объединиться
13004	13138	13272	267	засохнуть
13273	13408	13543	270	приостановиться
13544	13681	13818	273	владычество
13819	13957	14094	275	гостинец
14095	14235	14374	278	панталоны
14375	14515	14656	281	сокрушаться
14657	14799	14941	283	безвестный
14942	15085	15228	286	бита
15229	15374	15518	289	металлург
15519	15665	15811	291	клан
15812	15959	16106	294	подписываться
16107	16256	16405	297	аргентина
16406	16555	16705	299	впечатляющий
16706	16857	17009	302	косарь
17010	17162	17315	305	поедать
17316	17470	17623	307	бензиновый
17624	17780	17935	310	незапамятный
17936	18092	18249	313	досадливо
18250	18408	18565	315	напоказ
18566	18726	18885	318	дородный
18886	19046	19207	320	перегнать
19208	19369	19531	323	гимнастический
19532	19695	19859	326	бильярдный
19860	20024	20189	328	заразный
20190	20355	20521	331	волновой
20522	20689	20856	334	весовой
20857	21026	21194	336	набрасывать
21195	21365	21535	339	разрисовать
21536	21707	21878	342	донизу
21879	22052	22224	344	антропологический
22225	22399	22573	347	углядеть
22574	22749	22924	350	жабра
22925	23101	23278	352	помрачнеть
23279	23456	23634	355	колоритный
23635	23814	23993	358	наигрывать
23994	24175	24355	360	отхожий
24356	24538	24720	363	герр
24721	24904	25087	366	замахиваться
25088	25272	25456	368	барашковый
25457	25643	25829	371	розный
25830	26017	26204	374	тронный
26205	26393	26582	376	рукоплескать
